comment_content,status,article,user,time,comment
Bài viết rất hay và cô đọng. Hi vọng tác giả viết thêm nhiều bài cho mọi người cùng đọc,ACTIVE,1,1,4-2-24 11:09 AM,
Tôi nghĩ tác giả cần viết chi tiết hơn về sự kiện lịch sử quan trọng như vậy,ACTIVE,1,2,4-3-24 7:09 PM,
Đây chỉ là bài viết ngắn gọn cho đa phần mọi người đọc thôi. Muốn đọc bài dài thì lên wiki mà đọc,ACTIVE,1,3,4-5-24 10:01 AM,2
Bài viết rất thú vị và hữu ích. Mong tác giả sẽ tiếp tục chia sẻ kiến thức bổ ích như thế này,ACTIVE,2,4,4-7-24 9:30 AM,
Tôi thấy thông tin trong bài viết khá mới mẻ và thú vị. Rất cảm ơn tác giả đã chia sẻ,ACTIVE,2,5,4-9-24 3:15 PM,
Đánh giá của tôi về bài viết này là tích cực. Hy vọng sẽ có nhiều bài viết hay từ tác giả,ACTIVE,3,6,4-11-24 11:55 AM,
Tôi đồng ý với quan điểm của tác giả. Bài viết rất súc tích và dễ hiểu,ACTIVE,2,7,4-13-24 5:40 PM,4
Cảm ơn tác giả đã chia sẻ thông tin hữu ích này. Mong đợi những bài viết tiếp theo,ACTIVE,4,8,4-15-24 2:20 PM,
Tôi mong muốn đọc thêm nhiều bài viết từ tác giả về chủ đề này. Bài viết rất chất lượng,ACTIVE,4,9,4-17-24 8:10 AM,
Bài viết rất thú vị và đầy đủ thông tin. Tôi sẽ chia sẻ với bạn bè để họ cũng đọc,ACTIVE,5,10,4-19-24 4:45 PM,9
Tôi khuyến khích tất cả mọi người nên đọc bài viết này. Rất đáng để đọc và suy ngẫm,ACTIVE,5,5,4-21-24 12:35 PM,
Tôi đã học được rất nhiều điều từ bài viết này. Xin cảm ơn tác giả đã chia sẻ,ACTIVE,6,12,4-23-24 10:05 AM,
Bài viết rất ý nghĩa và đáng để đọc. Tôi sẽ quay lại đọc nhiều lần nữa,ACTIVE,6,1,4-25-24 6:55 PM,
Tôi đã được rất nhiều học hỏi từ bài viết này. Hy vọng sẽ có nhiều bài viết hay hơn,ACTIVE,7,14,4-27-24 3:25 PM,
Bài viết cung cấp thông tin rất hữu ích. Tôi rất ấn tượng và cảm ơn tác giả,ACTIVE,7,15,4-29-24 11:15 AM,
Tôi rất thích cách tác giả trình bày thông tin. Bài viết rất dễ đọc và hiểu,ACTIVE,8,16,5-1-24 7:50 PM,
Tôi hy vọng sẽ có nhiều bài viết thú vị hơn từ tác giả. Bài viết này rất bổ ích,ACTIVE,8,3,5-3-24 2:40 PM,
Bài viết đáng giá để đọc và chia sẻ. Tôi rất thích cách tác giả trình bày,ACTIVE,9,18,5-5-24 10:20 AM,
Tôi đã học được rất nhiều điều mới từ bài viết này. Cảm ơn tác giả đã chia sẻ,ACTIVE,9,19,5-7-24 6:10 PM,
Tôi đã từng đọc rất nhiều bài viết của tác giả và đều rất ấn tượng. Hy vọng sẽ có nhiều bài viết hay hơn nữa,ACTIVE,10,9,5-9-24 4:30 PM,
Bài viết rất thú vị và sâu sắc. Tôi mong muốn đọc thêm nhiều bài viết từ tác giả,ACTIVE,10,21,5-11-24 12:15 PM,
Tôi sẽ giới thiệu bài viết này cho bạn bè. Rất cảm ơn tác giả đã chia sẻ kiến thức,ACTIVE,11,22,5-13-24 9:45 AM,
Viết tào lao. Tác giả chắc mới học hết lớp 1 mà cũng đòi viết báo về sử. Ngu còn tỏ ra nguy hiểm,BANNED,1,9,5-14-24 4:00 PM,
